point,Ca,t_a_steps,steps,t_a_run,window,lambda,slope,loglog,status,paper_lambda,ratio
ca1e-3,7.867174e-04,762719.9,6000000,7.87,tail20,0.25765,-9.586,-0.608,power_law,0.2159,1.1935
ca3e-3,2.531938e-03,236990.4,2000000,8.44,tail20,0.40668,0.291,-0.448,power_law,0.2582,1.5751
ca1e-2,9.050900e-03,66296.7,940000,14.18,tail20,0.44941,-3.501,-0.212,power_law,0.3279,1.3707
ca3e-2,2.904083e-02,20662.1,1653960,80.05,tail20,0.23828,-0.534,-0.323,power_law,0.2120,1.1240
ca1e-1,9.990189e-02,6006.3,900943,150.00,tail20,0.13954,-0.495,-0.431,power_law,0.0580,2.4058
