point,Ca,t_a_steps,steps,t_a_run,window,lambda,slope,loglog,status,paper_lambda,ratio
ca3e-2,2.904083e-02,20662.1,1653960,80.05,30-60,0.28299,-0.814,-0.323,power_law,0.2120,1.3349
ca1e-1,9.990189e-02,6006.3,900943,150.00,30-60,0.23353,-0.954,-0.431,power_law,0.0580,4.0264
